id	genus	species
2714355.3	Oscillibacter	
2714353.3	Oscillibacter	
1737424.3	Blautia	
1519439.3	Oscillibacter	
2093857.4	unclassified Oscillospiraceae	
2292211.3	Collinsella	
2763042.3	Dysosmobacter	
2763041.3	Dysosmobacter	
105843.15	Anaerobutyricum	Anaerobutyricum soehngenii
2108523.6	Lawsonibacter	Lawsonibacter asaccharolyticus
2126740.3	Lachnoclostridium	
1506471.4	Dakarella	Dakarella massiliensis
2293024.3	Clostridium	
1981510.4	Monoglobus	Monoglobus pectinilyticus
2292287.3	Blautia	
1720194.3	Clostridium	
1965576.3	Pseudoflavonifractor	
1849041.17	Harryflintia	Harryflintia acetispora
2606635.3	unclassified Lachnospiraceae	
2787127.3	Ruminococcus	
1273103.4	Megasphaera	
2787102.3	Clostridium	
2582419.3	Dialister	
2564099.3	Ruminococcus	
2652276.3	Holdemanella	Holdemanella porci
2293126.3	Roseburia	
1715004.4	unclassified Clostridiales	
2292885.3	unclassified Firmicutes	
2787628.3	Treponema	
1982626.4	Faecalibacillus	Faecalibacillus intestinalis
2585118.70	Alistipes	Alistipes communis
2830659.3	unclassified Clostridiaceae	
2763051.3	Lachnospira	
2293015.3	Clostridium	
2126740.3	Lachnoclostridium	
2293035.3	Clostridium	
1852381.4	unclassified Sutterellaceae	
2292245.3	Ruminococcus	
871664.7	Blautia	Blautia stercoris
1796615.8	Blautia	Blautia caecimuris
2358141.3	Anaerotignum	
2137880.340	unclassified Gastranaerophilales	
2024228.3	Prevotella	
2292066.3	Roseburia	
225992.5	Comamonas	Comamonas kerstersii
2292295.3	Butyricicoccus	
2292233.3	Eubacterium	
2211183.3	Evtepia	Evtepia gabavorous
1912855.5	Faecalimonas	Faecalimonas umbilicata
2290870.3	unclassified Erysipelotrichaceae	
1602169.3	Prevotella	
2292182.3	unclassified Clostridiaceae	
2292232.3	Eubacterium	
2003188.3	Parolsenella	Parolsenella catena
2292205.3	Clostridium	
2259133.3	unclassified Sutterellaceae	
2764712.3	unclassified Clostridiales	
2293107.3	Eubacterium	
2585119.3	Alistipes	
1603888.3	Megasphaera	
2292072.3	Ruminococcus	
2293012.3	Clostridium	
1871022.3	Olsenella	
2109689.3	unclassified Clostridiales	
2292352.3	Eubacterium	
1653435.3	Clostridium	
2292271.3	unclassified Lachnospiraceae	
2137581.3	Ellagibacter	Ellagibacter isourolithinifaciens
2293093.3	Coprococcus	
1261637.4	Anaerostipes	
2509240.3	Blautia	
1917876.3	Blautia	
2292075.3	Sutterella	
1982628.3	Faecalibacillus	Faecalibacillus faecis
1472416.4	Butyricimonas	Butyricimonas faecihominis
2830660.3	unclassified Lachnospiraceae	
1720294.4	Eisenbergiella	Eisenbergiella massiliensis
2292065.3	Roseburia	
2292304.3	Clostridium	
2763065.3	Ruminococcus	
2292190.3	Alistipes	
29522.19	Brachyspira	Brachyspira aalborgi
2292272.3	unclassified Lachnospiraceae	
2830654.3	unclassified Clostridiaceae	
1965631.3	Alistipes	
2830657.3	unclassified Clostridiaceae	
2292206.3	Clostridium	
2583452.3	Absiella	
2292041.3	Dorea	
2293138.3	Roseburia	
1796635.16	Longicatena	Longicatena caecimuris
2292001.3	Bacteroides	
358742.4	[Clostridium]	[Clostridium] aldenense
2763664.3	unclassified Lachnospiraceae	
2293047.3	Clostridium	
70346.7	Acinetobacter	Acinetobacter variabilis
2024221.3	Prevotella	
1697793.4	unclassified Clostridia	
2293097.3	Dorea	
2292281.3	Bacteroides	
2509433.3	Senegalimassilia	
1841856.4	Bacteroides	Bacteroides mediterraneensis
1796628.16	Longibaculum	Longibaculum muris
2292238.3	Olsenella	
1871006.4	Bacteroides	
