id	name	genus	species
1120974.3	Alistipes onderdonkii DSM 19147	Alistipes	 Alistipes onderdonkii
1235814.4	Bacteroides acidifaciens JCM 10556	Bacteroides	 Bacteroides acidifaciens
1121094.3	Bacteroides barnesiae DSM 18169	Bacteroides	 Bacteroides barnesiae
411901.7	Bacteroides caccae ATCC 43185	Bacteroides	 Bacteroides caccae
997873.3	Bacteroides caccae CL03T12C61	Bacteroides	 Bacteroides caccae
6666666.205258	Bacteroides caccae LFYP20	Bacteroides	 Bacteroides caccae
1796613.10	Bacteroides caecimuris strain I48	Bacteroides	 Bacteroides caecimuris
1796613.5	Bacteroides sp. I48	Bacteroides	 Bacteroides caecimuris
246787.4	Bacteroides cellulosilyticus strain WH2	Bacteroides	 Bacteroides cellulosilyticus
997874.3	Bacteroides cellulosilyticus CL02T12C19	Bacteroides	 Bacteroides cellulosilyticus
537012.5	Bacteroides cellulosilyticus DSM 14838	Bacteroides	 Bacteroides cellulosilyticus
762984.3	Bacteroides clarus YIT 12056	Bacteroides	 Bacteroides clarus
470145.6	Bacteroides coprocola DSM 17136	Bacteroides	 Bacteroides coprocola
547042.5	Bacteroides coprophilus DSM 18228	Bacteroides	 Bacteroides coprophilus
679937.3	Bacteroides coprosuis DSM 18011	Bacteroides	 Bacteroides coprosuis
556260.3	Bacteroides sp. D4	Bacteroides	 Bacteroides dorei
997875.3	Bacteroides dorei CL02T00C15	Bacteroides	 Bacteroides dorei
997876.3	Bacteroides dorei CL02T12C06	Bacteroides	 Bacteroides dorei
997877.3	Bacteroides dorei CL03T12C01	Bacteroides	 Bacteroides dorei
483217.6	Bacteroides dorei DSM 17855	Bacteroides	 Bacteroides dorei
665953.3	Bacteroides eggerthii 1_2_48FAA	Bacteroides	 Bacteroides eggerthii
483216.6	Bacteroides eggerthii DSM 20697	Bacteroides	 Bacteroides eggerthii
871325.5	Bacteroides faecichinchillae strain DSM 26883	Bacteroides	 Bacteroides faecichinchillae
1236513.3	Bacteroides faecichinchillae JCM 17102	Bacteroides	 Bacteroides faecichinchillae
6666666.205253	Bacteroides faecis LFYP10	Bacteroides	 Bacteroides faecis
1077285.3	Bacteroides faecis MAJ27	Bacteroides	 Bacteroides faecis
997888.3	Bacteroides thetaiotaomicron CL09T03C10	Bacteroides	 Bacteroides finegoldii
483215.6	Bacteroides finegoldii DSM 17565	Bacteroides	 Bacteroides finegoldii
763034.3	Bacteroides fluxus YIT 12057	Bacteroides	 Bacteroides fluxus
817.58	Bacteroides fragilis strain BOB25	Bacteroides	 Bacteroides fragilis
862962.3	Bacteroides fragilis 638R	Bacteroides	 Bacteroides fragilis
997880.3	Bacteroides fragilis CL05T00C42	Bacteroides	 Bacteroides fragilis
1073388.3	Bacteroides fragilis HMW 616	Bacteroides	 Bacteroides fragilis
272559.17	Bacteroides fragilis NCTC 9343	Bacteroides	 Bacteroides fragilis
295405.11	Bacteroides fragilis YCH46	Bacteroides	 Bacteroides fragilis
1121096.3	Bacteroides gallinarum DSM 18171	Bacteroides	 Bacteroides gallinarum
693979.3	Bacteroides helcogenes P 36-108	Bacteroides	 Bacteroides helcogenes
329854.7	Bacteroides intestinalis strain KLE1704	Bacteroides	 Bacteroides intestinalis
471870.8	Bacteroides intestinalis DSM 17393	Bacteroides	 Bacteroides intestinalis
6666666.205252	Bacteroides intestinalis LFYP9	Bacteroides	 Bacteroides intestinalis
1121098.3	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	Bacteroides	 Bacteroides massiliensis
1235788.3	Bacteroides massiliensis dnLKV3	Bacteroides	 Bacteroides sartorii
997884.3	Bacteroides nordii CL02T12C05	Bacteroides	 Bacteroides nordii
742727.4	Bacteroides oleiciplenus YIT 12058	Bacteroides	 Bacteroides oleiciplenus
28116.7	Bacteroides ovatus strain ATCC 8483	Bacteroides	 Bacteroides ovatus
665954.3	Bacteroides ovatus 3_8_47FAA	Bacteroides	 Bacteroides ovatus
411476.11	Bacteroides ovatus ATCC 8483	Bacteroides	 Bacteroides ovatus
997885.3	Bacteroides ovatus CL02T12C04	Bacteroides	 Bacteroides ovatus
