Subsystem;FlagDR;Name;Role;Module1;Module2;Module3;
Thiamin HMP;1;ThiS;Sulfur carrier protein ThiS;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiF;Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiH;2-iminoacetate synthase (ThiH) (EC 4.1.99.19);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiO;Glycine oxidase ThiO (EC 1.4.3.19);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiG;Thiazole synthase (EC 2.8.1.10);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;Thi4;Thiazole biosynthetic enzyme Thi4;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiC;Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiE;Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiM;Hydroxyethylthiazole kinase (EC 2.7.1.50);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiD;Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;1;ThiD2;Hypothetical alternative hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;TenA;Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;ThiY1;Hydroxymethylpyrimidine ABC transporter, substrate-binding component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiX1;Hydroxymethylpyrimidine ABC transporter, transmembrane component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiZ1;Hydroxymethylpyrimidine ABC transporter, ATPase component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoE;Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoD;ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoC;Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoDd;Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;CytX;Predicted hydroxymethylpyrimidine transporter CytX;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiW;Substrate-specific component ThiW of predicted thiazole ECF transporter;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiU;Predicted thiazole transporter ThiU;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiT;Substrate-specific component ThiT of thiamin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiB;Thiamin ABC transporter, substrate-binding component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiP;Thiamin ABC transporter, transmembrane component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiQ;Thiamin ABC transporter, ATPase component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;PnuT;Predicted thiamin transporter PnuT;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoE2;Substrate-specific component YkoE of thiamin-regulated ECF transporter for Thiamin;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoD2;ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for Thiamin;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoD2d;Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for Thiamin;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoC2;Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for Thiamin;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiZ2;Thiamin ABC transporter ThiZ, ATPase component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiY2;Thiamin ABC transporter ThiY, substrate-binding component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiX2;Thiamin ABC transporter ThiX, transmembrane component;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;COG0011;Cytoplasmic thiamin-binding component of thiamin ABC transporter, COG0011 family;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;Omp;Thiamin-regulated outer membrane receptor Omr1;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiV;Predicted thiamin transporter ThiV, SSS family;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;YkoF;Putative HMP/thiamine-binding protein YkoF;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine and precursor uptake;
Thiamin HMP;0;ThiN;Thiamin pyrophosphokinase (EC 2.7.6.2);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;ThiL;Thiamine-monophosphate kinase (EC 2.7.4.16);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;ThiK;Thiamine kinase (EC 2.7.1.89);Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;ThiK2;Putative choline kinase, PnuC-associated, THI-regulated;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;ThiK3;Putative thiamine kinase, YkoEDC-associated, THI-regulated;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Thiamin HMP;0;TMPase;ThMPase type I predicted;Vitamins, cofactors and micronutrients metabolism;Thiamine metabolism;Thiamine pyrophosphate biosynthesis;
Riboflavin HMP;1;RibA;GTP cyclohydrolase II (EC 3.5.4.25);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;1;RibDd;Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;1;RibDr;5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;1;RibH;6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;1;RibB;3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;1;RibE;Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;0;RibU;Substrate-specific component RibU of riboflavin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;PnuX;Riboflavin transporter PnuX;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RibZ;Riboflavin transporter, COG2814 family;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
